store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,sku,product_id,product_sku,quantity,quantity_available,availability,badges,discount_percent,price_sale_clean,price_original_clean
626,"Chambly, QC","Robinet de lavabo de salle de bains central Danze Ellison à double poignée et à tirette de vidage, trou unique, 4 po, chrome","Robinet de lavabo de salle de bains central Danze Ellison à double poignée et à tirette de vidage, trou unique, 4 po, chrome",69.93,"69,93 $",149.99,"Était±  149,99 $prix était 149,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-ellison-a-double-poignee-et-a-tirette-de-vidage-trou-unique-4-po-chrome-0639921p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-ellison-a-double-poignee-et-a-tirette-de-vidage-trou-unique-4-po-chrome-0639921p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639921/danze-ellison-bathroom-faucet-chrome-7235950f-0ff9-465a-a5cf-84ae3b98088e.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639921/danze-ellison-bathroom-faucet-chrome-7235950f-0ff9-465a-a5cf-84ae3b98088e.png?im=whresize&wid=200&hei=200,063-9921-4,,063-9921-4,,,Il n’en reste que 1 #063-9921-4,Liquidation◊Mieux notés,53.38,"69,93","149,99"
626,"Chambly, QC","Robinet de lavabo de salle de bains central à arche haute Kohler Elmbrook, double poignée, 4 po, nickel brossé","Robinet de lavabo de salle de bains central à arche haute Kohler Elmbrook, double poignée, 4 po, nickel brossé",79.93,"79,93 $",179.99,"Était±  179,99 $prix était 179,99 $",79.93,"79,93 $",79.93,"79,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-a-arche-haute-kohler-elmbrook-double-poignee-4-po-nickel-brosse-0634711p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-a-arche-haute-kohler-elmbrook-double-poignee-4-po-nickel-brosse-0634711p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634711/kohler-elmbrook-center-set-bathroom-faucet-brushed-nickel-c7429cea-562c-4d45-8a90-cf59062a9dcd-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634711/kohler-elmbrook-center-set-bathroom-faucet-brushed-nickel-c7429cea-562c-4d45-8a90-cf59062a9dcd-jpgrendition.jpg?im=whresize&wid=200&hei=200,063-4711-4,,063-4711-4,,,Il n’en reste que 2 #063-4711-4,Liquidation◊,55.59,"79,93","179,99"
626,"Chambly, QC","Applique de salle de bain ronde à 3 lampes abat-jour en verre blanc givré CANVAS Serenity, chrome","Applique de salle de bain ronde à 3 lampes abat-jour en verre blanc givré CANVAS Serenity, chrome",29.93,"29,93 $",129.99,"Était±  129,99 $prix était 129,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-ronde-a-3-lampes-abat-jour-en-verre-blanc-givre-canvas-serenity-chrome-0523624p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-ronde-a-3-lampes-abat-jour-en-verre-blanc-givre-canvas-serenity-chrome-0523624p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0523624/canvas-vanity-serenity-3-light-51be3b62-0aa5-4271-9de0-b667068b89b8-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0523624/canvas-vanity-serenity-3-light-51be3b62-0aa5-4271-9de0-b667068b89b8-jpgrendition.jpg?im=whresize&wid=200&hei=200,052-3624-4,,052-3624-4,,,Il n’en reste que 2 #052-3624-4,Liquidation◊Mieux notés,76.98,"29,93","129,99"
626,"Chambly, QC","Liquide nettoyant pour oreilles de chien Petco Well & Good, 118 mL","Liquide nettoyant pour oreilles de chien Petco Well & Good, 118 mL",0.93,"0,93 $",9.99,"Était±  9,99 $prix était 9,99 $",0.93,"0,93 $",0.93,"0,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-nettoyant-pour-oreilles-de-chien-petco-well-good-118-ml-1423985p.html,https://www.canadiantire.ca/fr/pdp/liquide-nettoyant-pour-oreilles-de-chien-petco-well-good-118-ml-1423985p.html,https://media-www.canadiantire.ca/product/living/pet-care/pet-accessories/1423985/petco-dog-ear-cleaner-4-fl-oz--c0ea9635-f03f-44d5-b6f1-fd729e0fa123-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/pet-care/pet-accessories/1423985/petco-dog-ear-cleaner-4-fl-oz--c0ea9635-f03f-44d5-b6f1-fd729e0fa123-jpgrendition.jpg?im=whresize&wid=200&hei=200,142-3985-0,,142-3985-0,,,Il n’en reste que 1 #142-3985-0,Liquidation◊Mieux notés,90.69,"0,93","9,99"
626,"Chambly, QC","Applique de salle de bain à 4 lampes abat-jour en verre blanc givré carré CANVAS Neptune, chrome","Applique de salle de bain à 4 lampes abat-jour en verre blanc givré carré CANVAS Neptune, chrome",39.93,"39,93 $",179.99,"Était±  179,99 $prix était 179,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-4-lampes-abat-jour-en-verre-blanc-givre-carre-canvas-neptune-chrome-0523621p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-4-lampes-abat-jour-en-verre-blanc-givre-carre-canvas-neptune-chrome-0523621p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0523621/canvas-vanity-4-light-neptune-1a528fee-7bc6-4218-977f-76f1ca66ffba-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0523621/canvas-vanity-4-light-neptune-1a528fee-7bc6-4218-977f-76f1ca66ffba-jpgrendition.jpg?im=whresize&wid=200&hei=200,052-3621-0,,052-3621-0,,,Il n’en reste que 1 #052-3621-0,Liquidation◊Mieux notés,77.82,"39,93","179,99"
626,"Chambly, QC","Applique de salle de bain à 3 lampes abat-jour en verre transparent CANVAS Sadie, chrome","Applique de salle de bain à 3 lampes abat-jour en verre transparent CANVAS Sadie, chrome",39.93,"39,93 $",179.99,"Était±  179,99 $prix était 179,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-3-lampes-abat-jour-en-verre-transparent-canvas-sadie-chrome-0527880p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-3-lampes-abat-jour-en-verre-transparent-canvas-sadie-chrome-0527880p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0527880/canvas-sadie-3-light-vanity-light-70931643-6023-4f77-b36b-dcd71d66a622-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0527880/canvas-sadie-3-light-vanity-light-70931643-6023-4f77-b36b-dcd71d66a622-jpgrendition.jpg?im=whresize&wid=200&hei=200,052-7880-8,,052-7880-8,,,Il n’en reste que 2 #052-7880-8,Liquidation◊Mieux notés,77.82,"39,93","179,99"
626,"Chambly, QC","Robinet de lavabo de salle de bains central Danze Karter à double poignée et à tirette de vidage, 4 po, chrome","Robinet de lavabo de salle de bains central Danze Karter à double poignée et à tirette de vidage, 4 po, chrome",69.93,"69,93 $",139.99,"Était±  139,99 $prix était 139,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-karter-a-double-poignee-et-a-tirette-de-vidage-4-po-chrome-0639924p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-karter-a-double-poignee-et-a-tirette-de-vidage-4-po-chrome-0639924p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639924/danze-karter-bathroom-faucet-chrome-36528825-a25c-4055-8e3a-ba9094a26958-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639924/danze-karter-bathroom-faucet-chrome-36528825-a25c-4055-8e3a-ba9094a26958-jpgrendition.jpg?im=whresize&wid=200&hei=200,063-9924-8,,063-9924-8,,,Il n’en reste que 2 #063-9924-8,Liquidation◊Mieux notés,50.05,"69,93","139,99"
626,"Chambly, QC","Applique de salle de bain en forme de goutte à 3 lampes abat-jour en verre transparent CANVAS, nickel brossé","Applique de salle de bain en forme de goutte à 3 lampes abat-jour en verre transparent CANVAS, nickel brossé",39.93,"39,93 $",189.99,"Était±  189,99 $prix était 189,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-en-forme-de-goutte-a-3-lampes-abat-jour-en-verre-transparent-canvas-nickel-brosse-0529295p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-en-forme-de-goutte-a-3-lampes-abat-jour-en-verre-transparent-canvas-nickel-brosse-0529295p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0529295/canvas-amelia-3-light-brushed-nickel-vanity-light-059a7d81-348e-4476-829b-4adf85197f6d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0529295/canvas-amelia-3-light-brushed-nickel-vanity-light-059a7d81-348e-4476-829b-4adf85197f6d-jpgrendition.jpg?im=whresize&wid=200&hei=200,052-9295-0,,052-9295-0,,,Il n’en reste que 1 #052-9295-0,Liquidation◊Mieux notés,78.98,"39,93","189,99"
626,"Chambly, QC","Robinet de lavabo de salle de bains central Danze Kenzie Trough à poignée simple et à tirette de vidage, trou unique, 4 po, chrome","Robinet de lavabo de salle de bains central Danze Kenzie Trough à poignée simple et à tirette de vidage, trou unique, 4 po, chrome",69.93,"69,93 $",139.99,"Était±  139,99 $prix était 139,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-kenzie-trough-a-poignee-simple-et-a-tirette-de-vidage-trou-unique-4-po-chrome-0639839p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-kenzie-trough-a-poignee-simple-et-a-tirette-de-vidage-trou-unique-4-po-chrome-0639839p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639839/danze-kenzie-trough-chrome-1-handle-lavatory-faucet-7432270a-0894-453f-bd4c-1ccf0dd27bbe.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639839/danze-kenzie-trough-chrome-1-handle-lavatory-faucet-7432270a-0894-453f-bd4c-1ccf0dd27bbe.png?im=whresize&wid=200&hei=200,063-9839-2,,063-9839-2,,,Il n’en reste que 2 #063-9839-2,Liquidation◊,50.05,"69,93","139,99"
626,"Chambly, QC","Robinet de lavabo de salle de bains central évasé Kohler Elmbrook, à double poignée, 8-16 po, nickel brossé","Robinet de lavabo de salle de bains central évasé Kohler Elmbrook, à double poignée, 8-16 po, nickel brossé",129.93,"129,93 $",279.99,"Était±  279,99 $prix était 279,99 $",129.93,"129,93 $",129.93,"129,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-evase-kohler-elmbrook-a-double-poignee-8-16-po-nickel-brosse-0634700p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-evase-kohler-elmbrook-a-double-poignee-8-16-po-nickel-brosse-0634700p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634700/kohler-elmbrook-widespread-bathroom-faucet-brushed-nickel-ab1157e8-7f0d-4dfb-a1ac-d94abc87a3e7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634700/kohler-elmbrook-widespread-bathroom-faucet-brushed-nickel-ab1157e8-7f0d-4dfb-a1ac-d94abc87a3e7-jpgrendition.jpg?im=whresize&wid=200&hei=200,063-4700-0,,063-4700-0,,,Il n’en reste que 2 #063-4700-0,Liquidation◊Mieux notés,53.59,"129,93","279,99"
